dt,LandAverageTemperature
1750,8.49
1751,7.67
1752,8.265
1753,8.272
1754,11.61
1755,9.263
1756,10.042
1757,8.246
1758,7.21
1759,5.983
1760,7.436
1761,7.321
1762,9.019
1763,7.871
1764,7.88
1765,9.013
1766,8.007
1767,6.278
1768,6.92
1769,8.967
1770,9.788
1771,5.717
1772,8.858
1773,9.415
1774,10.153
1775,7.952
1776,7.44
1777,6.362
1778,10.984
1779,9.965
1780,13.732
1781,6.923
1782,8.618
1783,8.574
1784,8.142
1785,6.379
1786,9.318
1787,7.772
1788,8.714
1789,7.694
1790,6.053
1791,9.127
1792,7.994
1793,8.643
1794,9.367
1795,8.918
1796,7.773
1797,6.6
1798,8.083
1799,8.786
1800,9.125
1801,7.404
1802,7.623
1803,9.291
1804,10.057
1805,8.123
1806,8.032
1807,6.971
1808,7.482
1809,7.833
1810,6.533
1811,6.302
1812,6.95
1813,8.182
1814,7.193
1815,6.588
1816,7.606
1817,7.889
1818,9.901
1819,7.029
1820,8.7
1821,7.739
1822,8.278
1823,7.665
1824,8.375
1825,8.988
1826,8.403
1827,9.429
1828,8.737
1829,7.815
1830,8.841
1831,7.731
1832,8.059
1833,7.869
1834,8.085
1835,7.769
1836,7.315
1837,6.556
1838,7.383
1839,7.892
1840,7.943
1841,6.77
1842,8.31
1843,7.83
1844,7.389
1845,8.158
1846,7.473
1847,7.98
1848,8.11
1849,7.028
1850,7.217
1851,7.287
1852,7.487
1853,7.541
1854,7.622
1855,8.58
1856,7.751
1857,6.827
1858,8.25
1859,8.542
1860,7.76
1861,7.487
1862,7.323
1863,7.931
1864,7.515
1865,7.314
1866,7.914
1867,8.258
1868,8.183
1869,7.921
1870,7.879
1871,8.34
1872,7.846
1873,7.462
1874,8.231
1875,7.636
1876,8.199
1877,8.039
1878,8.899
1879,7.768
1880,7.559
1881,8.323
1882,7.691
1883,7.691
1884,7.186
1885,7.336
1886,7.909
1887,7.789
1888,7.845
1889,8.589
1890,7.739
1891,7.618
1892,7.562
1893,7.994
1894,7.663
1895,8.247
1896,7.33
1897,8.278
1898,7.907
1899,8.281
1900,8.223
1901,8.522
1902,7.956
1903,7.832
1904,7.684
1905,7.755
1906,8.626
1907,7.579
1908,7.832
1909,7.534
1910,8.105
1911,7.99
1912,8.229
1913,8.023
1914,8.098
1915,8.705
1916,8.047
1917,7.855
1918,7.644
1919,8.487
1920,8.293
1921,8.324
1922,8.38
1923,7.749
1924,7.97
1925,8.442
1926,8.193
1927,8.035
1928,8.244
1929,8.094
1930,8.182
1931,8.163
1932,8.769
1933,8.125
1934,8.016
1935,7.771
1936,8.127
1937,8.14
1938,8.913
1939,8.328
1940,8.756
1941,8.575
1942,8.416
1943,8.638
1944,8.434
1945,8.681
1946,8.837
1947,8.686
1948,8.499
1949,8.344
1950,8.123
1951,8.367
1952,8.461
1953,8.892
1954,8.158
1955,8.136
1956,7.922
1957,8.366
1958,8.52
1959,8.819
1960,8.133
1961,8.631
1962,8.54
1963,8.173
1964,7.922
1965,7.99
1966,8.161
1967,8.458
1968,8.455
1969,8.576
1970,8.603
1971,8.339
1972,8.337
1973,8.938
1974,8.386
1975,8.584
1976,8.294
1977,8.85
1978,8.791
1979,8.455
1980,8.935
1981,8.953
1982,8.465
1983,8.693
1984,8.432
1985,8.633
1986,8.871
1987,8.595
1988,8.992
1989,8.689
1990,9.169
1991,9.226
1992,8.572
1993,8.69
1994,9.018
1995,8.972
1996,8.679
1997,8.891
1998,9.358
1999,8.838
2000,9.552
2001,9.245
2002,9.229
2003,9.154
2004,9.249
2005,9.618
2006,9.055
2007,9.823
2008,9.295
2009,9.367
2010,9.671
2011,9.483
2012,9.676
2013,9.044
2014,9.589
2015,9.313